Class,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z,23x,23y,23z,24x,24y,24z,25x,25y,25z,26x,26y,26z,27x,27y,27z,28x,28y,28z,29x,29y,29z,30x,30y,30z,31x,31y,31z,32x,32y,32z,33x,33y,33z
B_sharp,0.565870881,0.307736993,-0.169523224,0.5726794,0.290245324,-0.150707081,0.577016294,0.290483207,-0.150687739,0.581515193,0.290588379,-0.150740951,0.560562253,0.28968823,-0.144850895,0.556521118,0.289684266,-0.144938871,0.553199232,0.289753497,-0.144966334,0.589032769,0.297853887,-0.053994901,0.549730182,0.29629302,-0.021543985,0.57389617,0.325945497,-0.13526395,0.558871806,0.324881464,-0.125918537,0.610135376,0.374726266,-0.051074315,0.534483612,0.367078364,0.011179649,0.635740697,0.242245331,-0.134735048,0.521843612,0.21677272,-0.033940885,0.567141414,0.213913769,-0.083151512,0.527711749,0.072099239,-0.042420477,0.557416916,0.199152395,-0.111574173,0.532482326,0.032656305,-0.075333886,0.556574523,0.207254663,-0.095281206,0.536676168,0.033344723,-0.069001652,0.558739364,0.211089134,-0.08268097,0.534838438,0.051326625,-0.04893392,0.567507446,0.684435964,-0.034048978,0.514014781,0.648748755,0.033921968,0.548869252,0.916295171,-0.015366157,0.403513134,0.772931516,-0.005896527,0.530785799,1.060703993,0.153520256,0.291815847,0.876059473,0.041145362,0.522979975,1.074916959,0.164006919,0.271059453,0.918920577,0.039735071,0.529663265,1.110529065,0.050363909,0.254813343,0.82983917,-0.071212605
B_sharp,0.565680861,0.307866812,-0.169887275,0.57258153,0.290371716,-0.151478514,0.576936364,0.29058519,-0.151461288,0.581450582,0.290666103,-0.151517391,0.560421407,0.28982693,-0.145411879,0.556420326,0.289813668,-0.145495445,0.553126752,0.28988263,-0.145519167,0.589012027,0.298018426,-0.055086426,0.549731195,0.296333849,-0.021539152,0.573830843,0.32608968,-0.13569203,0.558667541,0.32493788,-0.126020044,0.61005801,0.375244468,-0.049401049,0.534278214,0.367170334,0.013442939,0.635380566,0.242260173,-0.120982789,0.521754026,0.217543691,-0.025730688,0.56558156,0.216014698,-0.052876186,0.527584314,0.076011293,-0.03399995,0.557150304,0.204889894,-0.0784842,0.532467902,0.03841871,-0.06555523,0.55632329,0.21398513,-0.064774789,0.538903713,0.050749555,-0.06090166,0.558187485,0.218417585,-0.052967679,0.534831405,0.058481928,-0.040796138,0.567389846,0.684779167,-0.034206253,0.513523877,0.649307072,0.034088492,0.548863292,0.917067468,-0.018740144,0.403509766,0.773024857,-0.00617978,0.529664636,1.063691378,0.147125155,0.292181224,0.876044214,0.037084918,0.522918165,1.07768321,0.15741913,0.271285117,0.918755412,0.035276894,0.529636741,1.113833785,0.04376962,0.255048841,0.829883218,-0.076092742
B_sharp,0.565368414,0.307982415,-0.165394932,0.572408676,0.290503889,-0.147049248,0.576780438,0.290697783,-0.147038072,0.581299901,0.290761501,-0.147099033,0.560221434,0.289933115,-0.140425414,0.556290209,0.289895862,-0.140504062,0.553042769,0.289949715,-0.140525043,0.58891809,0.298055917,-0.050875418,0.549717844,0.296319574,-0.014683058,0.57361275,0.326207668,-0.131343395,0.558393657,0.324973285,-0.120951317,0.609497249,0.375310272,-0.045648891,0.534237504,0.367164582,0.024984848,0.635139167,0.242541566,-0.115005948,0.521283388,0.218616903,-0.005435752,0.565345407,0.219482571,-0.043222256,0.525866568,0.07760758,-0.014631934,0.556913853,0.211073875,-0.068181112,0.5307163,0.039462946,-0.045581587,0.555777729,0.215287119,-0.054522671,0.535540044,0.050550036,-0.041857995,0.557706237,0.224129513,-0.043163396,0.533070147,0.058948442,-0.022035502,0.567286551,0.6847983,-0.035350583,0.513489366,0.649427772,0.035251427,0.548861921,0.917416215,-0.022076283,0.403547376,0.773006618,-0.005749737,0.536665082,1.020750403,0.142287016,0.292253554,0.875868976,0.036330231,0.52298063,1.076990962,0.152599782,0.271292239,0.918547809,0.033671565,0.529780269,1.112977743,0.040913198,0.254721463,0.829121888,-0.07715027
B_sharp,0.565203547,0.308642179,-0.162172958,0.572333932,0.291072518,-0.143848389,0.576727509,0.291239709,-0.143837452,0.581253588,0.291264176,-0.143905103,0.560111403,0.290517777,-0.137899145,0.556212306,0.290410668,-0.137975603,0.552985013,0.290435672,-0.137992948,0.588890314,0.298535287,-0.046399869,0.549715638,0.296471924,-0.013268152,0.573560059,0.326839298,-0.127483338,0.558256745,0.325303555,-0.117980018,0.609216034,0.375538856,-0.035926774,0.533856153,0.367147446,0.026914218,0.634973168,0.243283018,-0.096096918,0.52002871,0.219437361,-0.003434837,0.56527245,0.230530635,-0.025133992,0.523558021,0.080018073,-0.017237695,0.556943059,0.227494985,-0.049441863,0.528948247,0.041979317,-0.049283907,0.555756509,0.229038492,-0.037317425,0.532711387,0.049730767,-0.046323933,0.557724118,0.234370083,-0.025915349,0.530751467,0.059271801,-0.025080219,0.567258656,0.684687316,-0.035529114,0.513348699,0.649456978,0.035437696,0.548860848,0.917471468,-0.02323178,0.403493226,0.773014486,-0.005505517,0.532475233,1.049426317,0.14191094,0.292316645,0.875795424,0.036044292,0.522985458,1.076512814,0.152378276,0.271445066,0.918421328,0.033789657,0.529308856,1.112874508,0.039240621,0.254470378,0.829262435,-0.077643409
B_sharp,0.565028489,0.308878809,-0.171041384,0.57221204,0.291299582,-0.153279573,0.576613784,0.291455239,-0.153268069,0.581135869,0.2914671,-0.153335482,0.559988022,0.290739596,-0.14767316,0.556132436,0.290605217,-0.147747129,0.552936435,0.290617287,-0.147762269,0.588789642,0.298708379,-0.055241317,0.549716115,0.296505839,-0.024274569,0.573445618,0.326983869,-0.13578023,0.558131516,0.325371891,-0.126864538,0.608754456,0.375845373,-0.037153296,0.533769667,0.367146909,0.019663794,0.634934068,0.245843619,-0.106689453,0.519626439,0.220147729,-0.007207174,0.565459847,0.230189815,-0.041815106,0.522815943,0.082587853,-0.021849645,0.55739212,0.226214424,-0.066939667,0.528040409,0.043237954,-0.051774852,0.555838704,0.231614321,-0.053895853,0.531499028,0.04911273,-0.051031012,0.557917893,0.236297742,-0.042152509,0.52986753,0.060010381,-0.029777313,0.566968918,0.684141397,-0.035532404,0.513353646,0.649101079,0.035440736,0.548772931,0.916961491,-0.020640511,0.403488249,0.772610486,-0.005493653,0.538307309,1.016923904,0.141552985,0.292314023,0.874903619,0.035329212,0.523467422,1.076117754,0.151351914,0.271444499,0.91613102,0.033186495,0.529951513,1.112617373,0.038577955,0.254073709,0.827845573,-0.079110436
B_sharp,0.564890802,0.309273243,-0.174186856,0.572109461,0.291545033,-0.156359881,0.576536357,0.291653425,-0.156349629,0.581052423,0.2916179,-0.156420141,0.559853375,0.291094005,-0.150802419,0.556031406,0.290954053,-0.150877744,0.552853703,0.290968031,-0.150891095,0.588649571,0.29887107,-0.057955928,0.549675226,0.296625286,-0.027179474,0.573349714,0.32731837,-0.138890803,0.557981789,0.325683445,-0.130046204,0.60840553,0.376470089,-0.037545674,0.533472836,0.367613554,0.017399702,0.634773016,0.247271389,-0.110079803,0.519232512,0.221863881,-0.010476171,0.565687299,0.23444353,-0.046943177,0.522110581,0.085189834,-0.027599642,0.557684958,0.23195,-0.072036944,0.527246416,0.045654122,-0.058302712,0.556009829,0.234334126,-0.05935381,0.530523598,0.049330737,-0.058109641,0.557958901,0.238118768,-0.04739929,0.529082954,0.061781824,-0.035838753,0.566886544,0.684021831,-0.035676081,0.513373435,0.649064004,0.03558813,0.548750639,0.916214168,-0.019702524,0.403413624,0.772194505,-0.006672498,0.540285051,1.011248827,0.143751606,0.29127878,0.873135448,0.026022812,0.52367276,1.076098084,0.153983489,0.270644248,0.913179874,0.023049427,0.529953361,1.112794757,0.042172544,0.253090471,0.821524024,-0.088599063
B_sharp,0.564858139,0.309344262,-0.18992579,0.572087765,0.291662574,-0.172297627,0.576495767,0.291779459,-0.172278821,0.580994904,0.2917566,-0.172338009,0.559813261,0.291189075,-0.16698125,0.555989563,0.291041881,-0.167064816,0.552814662,0.291052312,-0.167085454,0.588558376,0.299065977,-0.074510045,0.549672902,0.296681851,-0.045117591,0.573300958,0.327423722,-0.154786259,0.557916284,0.325789034,-0.146317557,0.608155608,0.377172381,-0.058090158,0.533430636,0.368116885,-0.002181548,0.634573162,0.247893542,-0.124134339,0.5188784,0.223270059,-0.033114564,0.565188706,0.233621433,-0.068739623,0.521278083,0.087576918,-0.052891724,0.557452083,0.230203778,-0.093959391,0.526340604,0.049340896,-0.084231451,0.555888832,0.233757511,-0.081713274,0.529420137,0.0509497,-0.082548723,0.557908416,0.237767711,-0.069254547,0.528066635,0.063684374,-0.060552843,0.566489816,0.68396914,-0.035566166,0.513423741,0.648623884,0.035474386,0.548763454,0.913113832,-0.012905015,0.403392375,0.770950139,-0.007317854,0.541277528,1.012037277,0.145905674,0.290379822,0.870968223,0.020751521,0.5236938,1.076686859,0.156211585,0.269919068,0.909701884,0.017289277,0.529952288,1.113343,0.043502294,0.252349049,0.818947911,-0.094237171
B_sharp,0.564817548,0.309524506,-0.195974991,0.572052598,0.291825861,-0.178431243,0.57645452,0.291925162,-0.17840293,0.580945849,0.291897774,-0.17845431,0.559758604,0.29147166,-0.173029259,0.555938005,0.29135257,-0.17311576,0.552756667,0.291391492,-0.173133895,0.588501573,0.299493164,-0.08167474,0.549634635,0.296986043,-0.051776987,0.573281229,0.327617079,-0.161327213,0.557888985,0.32605505,-0.15271309,0.608052492,0.377521634,-0.068241976,0.533412874,0.368816912,-0.010036842,0.634559274,0.24785845,-0.133492038,0.518810153,0.224653348,-0.042132821,0.565215588,0.233324051,-0.074108995,0.521291554,0.094025463,-0.057719857,0.557357907,0.229169309,-0.098729908,0.525895417,0.052341603,-0.089244299,0.555345714,0.230396375,-0.086727172,0.528981149,0.052955456,-0.085969187,0.557498038,0.234209016,-0.074608304,0.527781725,0.066316478,-0.064987734,0.566336751,0.683558345,-0.035618238,0.513567805,0.647764921,0.03552293,0.548763156,0.906560957,0.005941207,0.403422296,0.767484367,-0.007862767,0.542535663,1.009500742,0.158024505,0.290152371,0.864699244,0.000697232,0.524443448,1.074789166,0.167139575,0.269379735,0.903404295,-0.004708307,0.530007362,1.111042976,0.053768981,0.25241214,0.814316392,-0.114509687
B_sharp,0.56463939,0.309717715,-0.188213363,0.57190764,0.291994244,-0.170278043,0.576320648,0.292051345,-0.170260742,0.580806136,0.291984975,-0.170303941,0.559606731,0.291760802,-0.163231239,0.555831552,0.291674733,-0.163304463,0.55266577,0.291759223,-0.163311854,0.588421762,0.299522132,-0.076177277,0.549621582,0.297234088,-0.037797652,0.573137403,0.327742666,-0.15490742,0.557786822,0.326256871,-0.143940717,0.60795486,0.37782681,-0.06594497,0.533468068,0.369464874,0.005754888,0.634529233,0.247821897,-0.135541275,0.518270195,0.226036131,-0.021489341,0.566067576,0.232656419,-0.079955265,0.520815134,0.095570631,-0.043050807,0.557749689,0.228003338,-0.105263352,0.525306284,0.053842001,-0.075209878,0.555720568,0.230162859,-0.093501523,0.528565228,0.056351885,-0.072344758,0.557618439,0.233410522,-0.080585614,0.527198434,0.066807501,-0.050776821,0.566187739,0.680914819,-0.037723724,0.51370132,0.645670474,0.037640281,0.54876554,0.899659216,0.004548251,0.403438419,0.764074385,-0.008315933,0.543116033,1.008629322,0.136797592,0.289796025,0.854303896,-0.009068718,0.525992513,1.074691772,0.144319907,0.268378347,0.891804099,-0.015209837,0.529813349,1.110728502,0.025441816,0.252536118,0.796986163,-0.125753328
B_sharp,0.564306974,0.309723496,-0.161741585,0.571616352,0.292002141,-0.142748028,0.576046646,0.292059273,-0.14274469,0.580554485,0.291992813,-0.142801255,0.55939585,0.291768342,-0.134533465,0.55571425,0.291682124,-0.134608477,0.5525859,0.29176563,-0.134625301,0.588324606,0.299482912,-0.048205171,0.549610078,0.297218353,-0.003851879,0.572687745,0.327738285,-0.128918454,0.557554722,0.326259345,-0.11625693,0.607896626,0.377847761,-0.048309661,0.533494592,0.36929369,0.033532619,0.634520948,0.248725295,-0.125198379,0.518142045,0.226090044,0.00375374,0.567174196,0.232285708,-0.053920925,0.520805597,0.095051222,-0.011615334,0.55846411,0.227683753,-0.077489957,0.525348306,0.053434573,-0.04478237,0.556489825,0.233209997,-0.065729514,0.528656125,0.05621234,-0.040691309,0.558194339,0.236308917,-0.054335605,0.527272522,0.066596679,-0.019332504,0.565887749,0.680076301,-0.040058587,0.513723314,0.644462824,0.040002093,0.548746347,0.900699794,-0.004870001,0.403386503,0.756448686,-0.028639957,0.543011367,1.008013964,0.135079041,0.28633374,0.844737411,-0.050064139,0.526307523,1.074692488,0.143753603,0.264019132,0.88488549,-0.057882261,0.529729128,1.111262202,0.025929034,0.250691831,0.779051304,-0.171402752
B_sharp,0.564294219,0.309925199,-0.165715277,0.571605086,0.292131215,-0.146960646,0.57603848,0.292155147,-0.146950573,0.580544591,0.292059332,-0.147004455,0.559382856,0.291961372,-0.139789835,0.555702925,0.291871607,-0.139868021,0.552581191,0.291960567,-0.139888197,0.588315845,0.299488425,-0.05179112,0.549605966,0.297256112,-0.011648721,0.572677135,0.327935666,-0.132380992,0.557540476,0.32645002,-0.121032022,0.607906103,0.377433449,-0.047411077,0.533638835,0.36915046,0.02687191,0.63452065,0.248416215,-0.105918005,0.518428147,0.226087376,-0.001320378,0.567603707,0.234641984,-0.010041812,0.522501647,0.100699529,-0.012492545,0.559102356,0.231370106,-0.03000165,0.526673257,0.057091985,-0.045069899,0.556968272,0.234266624,-0.020503212,0.530006051,0.058413126,-0.040982999,0.558593988,0.237624004,-0.010981214,0.528726697,0.071801513,-0.019942535,0.565728366,0.677321136,-0.040454298,0.513883114,0.64167887,0.040411618,0.548749864,0.897216439,-0.001625829,0.40328145,0.747485518,-0.040854212,0.542904496,1.003215909,0.167636916,0.284097493,0.831243753,-0.063587487,0.533957124,1.001415372,0.179469407,0.261933625,0.872055709,-0.071466707,0.530504227,1.10020256,0.067274258,0.249509886,0.765342176,-0.185903281
